Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS)
41:49.2,0.06,0.76,1.16,-1,33.9,0.789
41:49.2,0.02,0.69,1.06,-1,33.9,0.789
41:49.3,-0.02,0.62,1,-1,33.9,0.789
41:49.3,0,0.61,0.97,-1,33.9,0.789
41:49.3,0,0.51,0.95,-1,33.9,0.789
41:49.3,-0.01,0.53,0.93,-1,33.9,0.789
41:49.4,0,0.53,0.93,-1,33.9,0.789
41:49.4,0,0.54,0.94,-1,33.9,0.789
41:49.4,0,0.59,0.93,-1,33.9,0.789
41:49.5,-0.02,0.59,0.99,-1,33.9,0.794
41:49.5,-0.03,0.55,0.97,-1,33.9,0.794
41:49.5,-0.06,0.49,0.88,-1,33.9,0.794
41:49.6,-0.06,0.57,0.88,-1,33.9,0.797
41:49.6,-0.11,0.48,0.91,-1,33.9,0.797
41:49.6,-0.13,0.47,0.82,-1,33.7,0.797
41:49.7,-0.14,0.55,0.86,-1,33.9,0.797
41:49.7,-0.19,0.51,0.87,-1,33.9,0.797
41:49.7,-0.21,0.5,0.86,-1,33.9,0.797
41:49.8,-0.24,0.5,0.84,-1,33.9,0.802
41:49.8,-0.27,0.51,0.9,-1,33.9,0.797
41:49.8,-0.32,0.46,0.85,-1,33.9,0.797
41:49.8,-0.34,0.42,0.77,-1,33.9,0.797
41:49.9,-0.33,0.4,0.82,-1,33.9,0.797
41:49.9,-0.35,0.39,0.78,-1,33.9,0.797
41:49.9,-0.39,0.34,0.77,-1,33.9,0.797
41:50.0,-0.41,0.3,0.76,-1,33.9,0.797
41:50.0,-0.43,0.31,0.77,-1,33.9,0.797
41:50.0,-0.45,0.27,0.75,-1,33.9,0.797
41:50.1,-0.49,0.21,0.66,-1,33.9,0.797
41:50.1,-0.51,0.13,0.55,-1,33.9,0.797
41:50.1,-0.53,0,0.38,-1,33.9,0.797
41:50.2,-0.48,-0.03,0.36,-1,33.9,0.797
41:50.2,-0.35,0.07,0.46,-1,33.9,0.797
41:50.2,-0.31,0.07,0.47,-1,33.9,0.797
41:50.2,-0.18,0.22,0.6,-1,33.9,0.794
41:50.3,-0.04,0.46,0.88,-1,33.9,0.794
41:50.3,0.06,0.46,0.96,-1,33.9,0.794
41:50.3,0.26,0.87,1.17,-1,33.9,0.794
41:50.4,0.23,0.84,1.33,-1,33.9,0.789
41:50.4,0.2,0.8,1.28,-1,33.9,0.789
41:50.4,0.14,0.69,1.17,-1,33.7,0.789
41:50.5,0.1,0.63,1.14,-1,33.9,0.789
41:50.5,0.06,0.55,1.09,-1,33.9,0.789
41:50.5,0.05,0.5,1.03,-1,33.9,0.794
41:50.6,0.06,0.53,1.02,-1,33.9,0.789
41:50.6,0.06,0.55,1.03,-1,33.9,0.794
41:50.6,0.04,0.58,1.05,-1,33.9,0.794
41:50.7,0.01,0.58,1.02,-1,33.9,0.794
41:50.7,-0.01,0.53,0.97,-1,33.9,0.794
41:50.7,-0.03,0.51,0.94,-1,33.9,0.794
41:50.8,-0.08,0.46,0.9,-1,33.9,0.794
41:50.8,-0.14,0.44,0.86,-1,33.9,0.794
41:50.8,-0.19,0.39,0.82,-1,33.9,0.794
41:50.8,-0.23,0.38,0.8,-1,33.9,0.794
41:50.9,-0.27,0.35,0.81,-1,33.9,0.794
41:50.9,-0.3,0.34,0.75,-1,33.9,0.794
41:50.9,-0.34,0.33,0.74,-1,33.9,0.794
41:51.0,-0.36,0.31,0.76,-1,33.7,0.797
41:51.0,-0.38,0.28,0.74,-1,33.9,0.794
41:51.0,-0.38,0.3,0.77,-1,33.9,0.797
41:51.1,-0.4,0.3,0.81,-1,33.9,0.794
41:51.1,-0.43,0.24,0.77,-1,33.7,0.794
41:51.1,-0.45,0.25,0.76,-1,33.9,0.794
41:51.2,-0.46,0.27,0.79,-1,33.9,0.794
41:51.2,-0.49,0.25,0.8,-1,33.9,0.794
41:51.2,-0.5,0.21,0.74,-1,33.9,0.794
41:51.3,-0.49,0.17,0.7,-1,33.7,0.794
41:51.3,-0.47,0.19,0.74,-1,33.9,0.794
41:51.3,-0.46,0.19,0.72,-1,33.7,0.794
41:51.3,-0.46,0.12,0.6,-1,33.9,0.797
41:51.4,-0.39,0.14,0.63,-1,33.9,0.794
41:51.4,-0.32,0.24,0.67,-1,33.7,0.797
41:51.4,-0.3,0.24,0.62,-1,33.7,0.794
41:51.5,-0.23,0.41,0.85,-1,33.9,0.794
41:51.5,-0.23,0.16,0.82,-1,33.7,0.794
41:51.5,-0.04,0.48,0.79,-1,33.7,0.794
41:51.6,0.02,0.71,1.22,-1,33.9,0.789
41:51.6,0.01,0.72,1.19,-1,33.7,0.794
41:51.6,0,0.69,1.13,-1,33.9,0.789
41:51.7,-0.03,0.61,1.13,-1,33.7,0.789
41:51.7,-0.07,0.53,1.06,-1,33.9,0.789
41:51.7,-0.09,0.43,0.96,-1,33.9,0.789
41:51.8,-0.07,0.43,0.91,-1,33.9,0.789
41:51.8,-0.06,0.42,0.91,-1,33.9,0.789
41:51.8,-0.03,0.47,0.91,-1,33.9,0.789
