Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event,z^2,y^2,x^2,sum,Movement
58:43.4,-0.14,0.34,0.93,-1,34.9,0.296,0,0.0004,0.0016,0.0004,0.0024,0.049
58:43.4,-0.14,0.32,0.94,-1,34.9,0.296,0,0,0.0004,0.0001,0.0005,0.0224
58:43.5,-0.14,0.35,0.95,-1,34.9,0.296,0,0,0.0009,0.0001,0.001,0.0316
58:43.5,-0.14,0.34,0.93,-1,34.9,0.296,0,0,0.0001,0.0004,0.0005,0.0224
58:43.5,-0.13,0.33,0.96,-1,34.9,0.294,0,0.0001,0.0001,0.0009,0.0011,0.0332
58:43.6,-0.14,0.31,0.95,-1,34.9,0.296,0,0.0001,0.0004,0.0001,0.0006,0.0245
58:43.6,-0.14,0.32,0.94,-1,34.9,0.296,0,0,0.0001,0.0001,0.0002,0.0141
58:43.6,-0.14,0.35,0.93,-1,34.9,0.294,0,0,0.0009,0.0001,0.001,0.0316
58:43.7,-0.14,0.32,0.92,-1,34.9,0.296,0,0,0.0009,0.0001,0.001,0.0316
58:43.7,-0.15,0.35,0.91,-1,34.9,0.294,0,0.0001,0.0009,0.0001,0.0011,0.0332
58:43.7,-0.15,0.43,0.96,-1,34.9,0.296,0,0,0.0064,0.0025,0.0089,0.0943
58:43.8,-0.15,0.43,0.91,-1,34.9,0.296,0,0,0,0.0025,0.0025,0.05
58:43.8,-0.18,0.5,0.89,-1,34.9,0.296,0,0.0009,0.0049,0.0004,0.0062,0.0787
58:43.8,-0.2,0.71,0.82,-1,34.9,0.296,0,0.0004,0.0441,0.0049,0.0494,0.2223
58:43.8,-0.19,0.64,0.78,-1,34.9,0.296,0,0.0001,0.0049,0.0016,0.0066,0.0812
58:43.9,-0.19,0.54,0.72,-1,34.9,0.296,0,0,0.01,0.0036,0.0136,0.1166
58:43.9,-0.18,0.53,0.66,-1,34.9,0.296,0,0.0001,0.0001,0.0036,0.0038,0.0616
58:43.9,-0.18,0.63,0.65,-1,34.9,0.296,0,0,0.01,0.0001,0.0101,0.1005
58:44.0,-0.22,0.7,0.58,-1,34.9,0.296,0,0.0016,0.0049,0.0049,0.0114,0.1068
58:44.0,-0.25,0.68,0.58,-1,34.9,0.296,0,0.0009,0.0004,0,0.0013,0.0361
58:44.0,-0.23,0.71,0.58,-1,34.9,0.296,0,0.0004,0.0009,0,0.0013,0.0361
58:44.1,-0.23,0.74,0.54,-1,34.9,0.296,0,0,0.0009,0.0016,0.0025,0.05
58:44.1,-0.24,0.73,0.57,-1,34.9,0.296,0,0.0001,0.0001,0.0009,0.0011,0.0332
58:44.1,-0.23,0.73,0.58,-1,34.9,0.296,0,0.0001,0,0.0001,0.0002,0.0141
58:44.2,-0.23,0.79,0.57,-1,34.9,0.296,0,0,0.0036,0.0001,0.0037,0.0608
58:44.2,-0.24,0.75,0.55,-1,34.9,0.296,0,0.0001,0.0016,0.0004,0.0021,0.0458
58:44.2,-0.25,0.73,0.55,-1,34.9,0.296,0,0.0001,0.0004,0,0.0005,0.0224
58:44.3,-0.24,0.73,0.55,-1,34.9,0.296,0,0.0001,0,0,0.0001,0.01
58:44.3,-0.23,0.71,0.55,-1,34.9,0.296,0,0.0001,0.0004,0,0.0005,0.0224
58:44.3,-0.24,0.74,0.51,-1,34.9,0.296,0,0.0001,0.0009,0.0016,0.0026,0.051
58:44.3,-0.23,0.77,0.54,-1,34.9,0.296,0,0.0001,0.0009,0.0009,0.0019,0.0436
58:44.4,-0.24,0.76,0.57,-1,34.9,0.296,0,0.0001,0.0001,0.0009,0.0011,0.0332
58:44.4,-0.24,0.74,0.55,-1,34.7,0.296,0,0,0.0004,0.0004,0.0008,0.0283
58:44.4,-0.24,0.78,0.56,-1,34.9,0.296,0,0,0.0016,0.0001,0.0017,0.0412
