Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
43:30.1,-0.05,0.38,0.89
43:30.2,-0.06,0.38,0.97
43:30.2,-0.09,0.33,0.85
43:30.2,-0.12,0.43,1
43:30.3,-0.12,0.54,0.98
43:30.3,-0.19,0.52,1.14
43:30.3,-0.03,0.31,0.67
43:30.3,0,0.4,0.95
43:30.4,0,0.43,1
43:30.4,0.01,0.38,0.91
43:30.4,0,0.43,0.89
43:30.5,0,0.41,0.9
43:30.5,0,0.38,0.73
43:30.5,-0.04,0.78,0.77
43:30.6,-0.09,0.93,0.86
43:30.6,-0.13,0.99,0.69
43:30.6,-0.15,0.86,0.56
43:30.7,-0.18,0.71,0.28
43:30.7,-0.23,0.64,0.09
43:30.7,-0.26,0.68,0
43:30.8,-0.29,0.86,-0.06
43:30.8,-0.32,0.79,-0.11
43:30.8,-0.32,0.8,-0.12
43:30.8,-0.3,0.87,-0.07
43:30.9,-0.26,0.93,-0.07
43:30.9,-0.22,0.86,-0.02
43:30.9,-0.17,0.87,0.06
43:31.0,-0.09,0.72,0.24
43:31.0,-0.06,0.61,0.35
43:31.0,0,0.14,1.16
43:31.1,-0.06,0.55,1.62
43:31.1,0.13,1.97,0.81
43:31.1,-0.1,1.38,1.08
43:31.2,-0.17,0.85,1.34
43:31.2,-0.16,0.58,0.95
43:31.2,-0.14,0.54,0.45
43:31.3,-0.16,0.33,0.24
43:31.3,-0.2,0.5,0.09
43:31.3,-0.25,0.6,0
43:31.3,-0.3,0.73,-0.03
43:31.4,-0.32,0.88,0
43:31.4,-0.33,0.91,0.02
43:31.4,-0.36,0.84,0.08
43:31.5,-0.36,0.81,0.11
