Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS)
42:11.2,-0.09,0.47,-0.2,-1,33.5,1.085
42:11.3,-0.22,0.55,-0.4,-1,33.5,1.094
42:11.3,-0.25,0.7,-0.32,-1,33.5,1.1
42:11.3,-0.29,0.79,-0.52,-1,33.3,1.103
42:11.4,-0.34,0.54,-0.71,-1,33.5,1.109
42:11.4,-0.31,0.69,-0.85,-1,33.5,1.112
42:11.4,-0.3,0.55,-0.65,-1,33.5,1.122
42:11.5,-0.3,0.53,-0.85,-1,33.5,1.128
42:11.5,-0.28,0.45,-1,-1,33.5,1.128
42:11.5,-0.28,0.28,-0.79,-1,33.5,1.128
42:11.6,-0.32,0.25,-0.83,-1,33.5,1.137
42:11.6,-0.39,0.18,-0.85,-1,33.5,1.137
42:11.6,-0.41,0.11,-0.85,-1,33.5,1.137
42:11.7,-0.42,0.23,-0.82,-1,33.5,1.14
42:11.7,-0.43,0.25,-0.99,-1,33.5,1.147
42:11.7,-0.4,0.15,-0.96,-1,33.5,1.15
42:11.8,-0.35,0.11,-0.88,-1,33.5,1.15
42:11.8,-0.34,0.13,-0.86,-1,33.5,1.15
42:11.8,-0.36,0.16,-0.93,-1,33.5,1.15
42:11.8,-0.36,0.18,-0.88,-1,33.3,1.159
42:11.9,-0.38,0.18,-0.86,-1,33.3,1.159
42:11.9,-0.41,0.13,-0.85,-1,33.5,1.166
42:11.9,-0.42,0.17,-0.9,-1,33.5,1.166
42:12.0,-0.47,0.17,-0.94,-1,33.5,1.166
42:12.0,-0.45,0.19,-0.95,-1,33.5,1.169
42:12.0,-0.4,0.2,-1.01,-1,33.5,1.175
42:12.1,-0.38,0.34,-0.91,-1,33.5,1.175
42:12.1,-0.32,0.26,-0.85,-1,33.5,1.175
42:12.1,-0.24,0.33,-0.84,-1,33.5,1.175
42:12.2,-0.21,0.3,-0.81,-1,33.5,1.175
42:12.2,-0.14,0.33,-0.9,-1,33.5,1.175
42:12.2,-0.13,0.33,-0.85,-1,33.3,1.172
42:12.3,-0.1,0.25,-0.82,-1,33.5,1.166
42:12.3,-0.1,0.26,-0.84,-1,33.5,1.166
42:12.3,-0.1,0.34,-0.87,-1,33.5,1.166
42:12.3,-0.11,0.44,-0.87,-1,33.5,1.166
42:12.4,-0.13,0.39,-0.84,-1,33.3,1.159
42:12.4,-0.15,0.39,-0.9,-1,33.5,1.159
42:12.4,-0.16,0.46,-0.85,-1,33.5,1.159
42:12.5,-0.17,0.44,-0.74,-1,33.5,1.166
