,name,emotion,numerical,X-m,X-s,X-md,X-nmd,X-md2,X-nmd2,Y-m,Y-s,Y-md,Y-nmd,Y-md2,Y-nmd2,Z-m,Z-s,Z-md,Z-nmd,Z-md2,Z-nmd2,T-m,T-s,T-md,T-nmd,T-md2,T-nmd2,E-m,E-s,E-md,E-nmd,E-md2,E-nmd2,dist-m,t-diff,e-diff
233,dr_sa_02,sa,2,0.569126984126984,0.530952380952381,-0.223015873015873,34.74444444444443,0.2991111111111111,0.5454173005562178,0.2177831162287052,0.1315949533456042,0.08347987115999038,0.0025868041200592467,0.1064,0.07912000000000001,0.03655999999999999,0.04319999999999908,0.0007359999999999958,0.19507998717952846,0.3632972168371034,0.27782220419945336,0.5174900176499513,0.2845209632583772,0.1254032258064516,0.09556451612903226,0.04161290322580645,0.05483870967741818,0.0007419354838709648,0.22992161355821517,0.4388058991160503,0.31621959784825204,0.6569093712700994,0.2868154871556227,0.1531400269781153,0.19999999999999574,0.009999999999999953
234,pc_af_01,af,1,-0.7095238095238094,0.2316666666666666,-0.1507142857142857,32.4015873015873,0.07431746031746027,0.11753370337299607,0.03717526059088222,0.06078392644676481,0.0178174161274952,0.0009520570877908005,0.058639999999999984,0.024399999999999998,0.02744,0.0032000000000000457,0.0008800000000000008,0.49892072075619465,0.6563504764236799,0.45143513432012716,0.1795995545651493,0.9243143203124463,0.08314516129032257,0.028629032258064516,0.04,0.0016129032258064746,0.0010000000000000009,0.7074154808724045,0.7701097935298995,0.6580687089214682,0.09052396903485348,1.0503571821732345,0.07660338717651279,0.20000000000000284,0.0020000000000000018
235,ii_an_02,an,2,0.8761538461538462,0.5116923076923078,-0.03892307692307693,33.79846153846153,0.18627692307692312,0.4408007355501332,0.4885423767148085,0.16485905985230115,0.10076629473115364,0.004463419696221207,0.39984375,0.5428125,0.12484375,0.11874999999999747,0.0007656250000000007,0.9070850335605325,1.111085805186706,0.757275639639391,1.1784694506910738,0.17153327540499708,0.4415873015873016,0.45666666666666667,0.11507936507936506,0.0952380952380932,0.0008412698412698438,1.0017844027328737,0.9347534388674954,0.6980469570945376,0.9451384065692822,0.18848100750688412,0.7561192728987542,0.19999999999999574,0.018000000000000016
236,as_ha_04,ha,4,0.9972727272727274,0.22181818181818183,-0.1318181818181818,34.3,0.0833939393939394,0.09741254819300511,0.10239184981770233,0.05675906014982021,0.0,0.0010289373747765784,0.08531249999999999,0.11125,0.033125,0.0,0.000781249999999999,0.8757855284821099,1.0865122585251528,0.5836072675016788,,0.759278474231377,0.11903225806451612,0.14096774193548386,0.038064516129032264,0.0,0.0003548387096774188,1.2219396810016252,1.3767476824225928,0.6706333055649237,,0.34485938442508984,0.1551101753729006,0.0,0.00399999999999999
237,lr_ha_01,ha,1,0.9119047619047619,0.3509523809523809,0.05547619047619049,0.42111904761904767,,0.5090796961674487,0.6010349185254346,0.4049944436893918,0.06602815451998299,,0.47121951219512187,0.4565853658536585,0.3092682926829268,0.009414634146341463,,0.9256301434581792,0.7596652902860198,0.7636358905706825,0.1425851474236219,,0.5199999999999999,0.504,0.37775000000000003,0.01725,,1.0214510692820074,0.838553608892645,0.9327288457560007,0.26125219045429177,,0.7890045532129035,0.25,
238,ak_af_02,af,2,-0.11317604355716879,0.5740108892921959,-0.12887477313974594,32.41088929219601,1.1696805807622503,0.783157875554621,0.29732331937613654,0.15416226610205613,0.056159905575289354,0.03399186486136074,0.15823636363636365,0.14043636363636364,0.044945454545454545,0.006545454545454587,0.0014963636363636416,0.2020491251834797,0.4723355165381461,0.29154640549783073,0.11655031251218165,0.044021228092860215,0.22244080145719491,0.16406193078324224,0.05715846994535519,0.008378870673952682,0.0016393442622950867,0.2840306002153979,0.5517963781902067,0.37076822617225946,0.14919666598655087,0.048227547061078235,0.23877410077595704,0.5,0.11199999999999988
239,tm_an_03,an,3,0.6652941176470587,-0.07794117647058821,0.5920588235294117,34.49411764705882,0.05147058823529412,1.4665424919075514,1.0270545688248645,0.5597011075281798,0.03429971702850225,0.001134454724650412,1.3942424242424245,0.9503030303030304,0.5784848484848485,0.012121212121212293,0.0010909090909090918,0.9507003253815816,0.9252702428366083,1.0335603069281456,0.35339102393001826,0.9616153621690465,1.6774999999999998,1.0753125,0.550625,0.006250000000000089,0.0009375000000000008,1.1438468433451616,1.0469867255742324,0.9837840100616152,0.18221724671391568,0.8263882018640244,1.9651369990742535,0.20000000000000284,0.0040000000000000036
240,pc_sa_02,sa,2,-0.7198125,0.203625,-0.1596875,32.7125,0.07447499999999999,0.21114087185406713,0.0687305146772432,0.09717663276721848,0.14569287935358827,0.000882748708874088,0.08389937106918238,0.03874213836477987,0.03893081761006289,0.11698113207547059,0.0007798742138364786,0.39736205658547513,0.5636817728880977,0.4006191252100659,0.8029296462153382,0.8834611775656723,0.11221518987341775,0.04113924050632912,0.05177215189873417,0.10443037974683446,0.0006329113924050638,0.5314707137847607,0.5985585980189145,0.532763385851737,0.7167843769041582,0.7169779871015818,0.11075816542072069,0.29999999999999716,0.0020000000000000018
241,ps_sa_04,sa,4,0.9863114754098359,0.4676229508196721,-0.3159016393442623,31.983606557377048,0.11868852459016392,0.22303392922655274,0.27526111804116155,0.08939423408810789,0.0550891924990659,0.0007282035771702567,0.10966942148760331,0.13363636363636366,0.025289256198347106,0.026446280991735443,0.00031404958677686196,0.4917163136026879,0.4854894312257359,0.28289583166428556,0.48006296320614733,0.4312661961882069,0.1235,0.14216666666666664,0.033,0.033333333333333215,0.0003333333333333359,0.553727410122213,0.5164792894774465,0.3691513254364354,0.6050793598744149,0.45774745384888627,0.1997167282462938,0.1999999999999993,0.0020000000000000157
242,ch_sa_01,sa,1,-0.9538095238095239,0.11095238095238096,-0.1057142857142857,27.200000000000003,0.36685714285714294,0.21516217582270802,0.113705970023775,0.11821892524344096,3.640448215221994e-15,0.0006546536707079897,0.12899999999999995,0.10749999999999997,0.07900000000000001,0.0,0.00030000000000000583,0.5995477574380683,0.945420895468572,0.668251718896278,0.0,0.4582575694955841,0.18368421052631576,0.14157894736842103,0.09789473684210527,0.0,0.00031578947368421666,0.853701213161509,1.2451320483772137,0.8280800780460206,0.0,0.48237638894272006,0.21353874723605762,0.0,0.003000000000000058
